run_id,timestamp,network,scenario,contract,function_name,concurrency,tx_per_user,tps_avg,tps_peak,p50_ms,p95_ms,success_rate
run-001,2025-06-29T11:44:11+00:00,Sepolia,LoadTestSmall,SmartReservation,bookHotel,10,4,11.2,13.6,148.0,316.0,0.928
run-002,2025-06-29T11:51:11+00:00,Arbitrum Sepolia,LoadTestSmall,SmartReservation,bookHotel,25,4,28.3,34.2,190.0,358.0,0.984
run-003,2025-06-29T11:58:11+00:00,Sepolia,LoadTestSmall,SmartReservation,bookHotel,50,3,41.6,52.8,306.0,780.0,0.923
run-004,2025-06-29T12:05:11+00:00,Sepolia,LoadTestSmall,SmartReservation,bookHotel,100,4,84.7,92.7,343.0,704.0,0.955
run-005,2025-06-29T12:12:11+00:00,Sepolia,LoadTestSmall,SmartReservation,bookHotel,200,4,237.4,280.0,318.0,701.0,0.971
run-006,2025-06-29T12:19:11+00:00,Sepolia,LoadTestSmall,SmartReservation,checkIn,10,5,10.0,12.2,204.0,492.0,0.953
run-007,2025-06-29T12:26:11+00:00,Arbitrum Sepolia,LoadTestSmall,SmartReservation,checkIn,25,6,23.6,26.0,209.0,390.0,0.969
run-008,2025-06-29T12:33:11+00:00,Sepolia,LoadTestSmall,SmartReservation,checkIn,50,4,45.9,51.2,425.0,1097.0,0.977
run-009,2025-06-29T12:40:11+00:00,Arbitrum Sepolia,LoadTestSmall,SmartReservation,checkIn,100,4,89.0,93.6,266.0,518.0,0.932
run-010,2025-06-29T12:47:11+00:00,Sepolia,LoadTestSmall,SmartReservation,checkIn,200,7,188.8,199.9,474.0,1038.0,0.929
run-011,2025-06-29T12:54:11+00:00,Sepolia,LoadTestSmall,SmartTourismToken,transfer,10,5,8.2,10.6,211.0,390.0,0.985
run-012,2025-06-29T13:01:11+00:00,Sepolia,LoadTestSmall,SmartTourismToken,transfer,25,5,23.8,28.9,218.0,496.0,0.939
run-013,2025-06-29T13:08:11+00:00,Sepolia,LoadTestSmall,SmartTourismToken,transfer,50,7,44.8,57.4,288.0,656.0,0.965
run-014,2025-06-29T13:15:11+00:00,Sepolia,LoadTestSmall,SmartTourismToken,transfer,100,7,118.2,147.8,461.0,1046.0,0.942
run-015,2025-06-29T13:22:11+00:00,Sepolia,LoadTestSmall,SmartTourismToken,transfer,200,6,214.1,227.3,424.0,909.0,0.935
run-016,2025-06-29T13:29:11+00:00,Sepolia,LoadTestSmall,StakingPool,stake,10,7,8.4,9.4,253.0,570.0,0.991
run-017,2025-06-29T13:36:11+00:00,Sepolia,LoadTestSmall,StakingPool,stake,25,5,28.2,35.1,221.0,514.0,0.971
run-018,2025-06-29T13:43:11+00:00,Arbitrum Sepolia,LoadTestSmall,StakingPool,stake,50,3,41.3,44.0,309.0,634.0,0.961
run-019,2025-06-29T13:50:11+00:00,Sepolia,LoadTestSmall,StakingPool,stake,100,7,115.5,134.4,189.0,381.0,0.932
run-020,2025-06-29T13:57:11+00:00,Arbitrum Sepolia,LoadTestSmall,StakingPool,stake,200,7,179.1,197.3,478.0,1160.0,0.957
run-021,2025-06-29T14:04:11+00:00,Arbitrum Sepolia,LoadTestSmall,StakingPool,claimRewards,10,6,9.7,11.6,141.0,315.0,0.937
run-022,2025-06-29T14:11:11+00:00,Sepolia,LoadTestSmall,StakingPool,claimRewards,25,3,26.0,32.8,227.0,502.0,0.97
run-023,2025-06-29T14:18:11+00:00,Sepolia,LoadTestSmall,StakingPool,claimRewards,50,6,51.3,61.6,173.0,373.0,0.953
run-024,2025-06-29T14:25:11+00:00,Sepolia,LoadTestSmall,StakingPool,claimRewards,100,6,94.5,100.7,236.0,548.0,0.944
run-025,2025-06-29T14:32:11+00:00,Sepolia,LoadTestSmall,StakingPool,claimRewards,200,3,188.9,226.2,454.0,964.0,0.986
run-026,2025-06-29T14:39:11+00:00,Sepolia,LoadTestMedium,SmartReservation,bookHotel,10,3,10.2,11.1,208.0,414.0,0.981
run-027,2025-06-29T14:46:11+00:00,Sepolia,LoadTestMedium,SmartReservation,bookHotel,25,5,24.6,31.2,269.0,674.0,0.966
run-028,2025-06-29T14:53:11+00:00,Sepolia,LoadTestMedium,SmartReservation,bookHotel,50,7,51.0,53.8,349.0,634.0,0.976
