run_id,timestamp,network,scenario,contract,function_name,concurrency,tx_per_user,tps_avg,tps_peak,p50_ms,p95_ms,success_rate
RUN_0001,2023-10-14 18:42:34.072249,Sepolia,Mixed,SmartReservation,transferToken,3,10,424.32,505.7297522143499,443,624,0.9361
RUN_0002,2024-12-29 22:07:02.072249,Goerli,Heavy Load,SmartReservation,mintToken,24,20,399.88,436.1432704427305,219,403,0.9236
RUN_0003,2025-01-23 18:48:15.072249,Goerli,Heavy Load,SmartReservation,cancelTour,37,19,78.57,154.54945194917735,172,239,0.8878
RUN_0004,2024-08-28 21:08:00.072249,Polygon,Heavy Load,SmartReservation,cancelTour,88,9,452.09,499.2085852895692,154,212,0.9414
RUN_0005,2023-11-23 13:23:10.072249,Polygon,Light Load,SmartTourismToken,mintToken,69,3,163.66,231.51948519072738,201,380,0.9783
RUN_0006,2023-11-04 00:26:44.072249,Sepolia,Light Load,SmartReservation,transferToken,11,1,491.38,517.5728224085166,79,193,0.8174
RUN_0007,2025-02-02 23:11:51.072249,Goerli,Heavy Load,SmartTourismToken,cancelTour,98,2,356.01,370.73482522572385,88,145,0.9244
RUN_0008,2023-11-27 18:25:42.072249,Sepolia,Light Load,SmartTourismToken,transferToken,42,15,340.88,423.92113006212395,242,294,0.9184
RUN_0009,2024-05-19 00:44:23.072249,Sepolia,Light Load,SmartReservation,cancelTour,32,17,345.07,404.32836561437796,129,256,0.9186
RUN_0010,2023-10-10 08:54:22.072249,Goerli,Heavy Load,SmartTourismToken,bookTour,64,6,309.9,352.003844416313,342,439,0.9659
RUN_0011,2025-07-12 06:27:02.072249,Sepolia,Light Load,SmartTourismToken,transferToken,89,6,209.91,259.81782485187125,207,360,0.8175
RUN_0012,2024-02-21 08:38:03.072249,Goerli,Light Load,SmartTourismToken,transferToken,93,19,100.27,198.89015008320027,380,525,0.8524
RUN_0013,2024-01-03 21:55:56.072249,Polygon,Light Load,SmartTourismToken,transferToken,43,5,315.4,387.9618675977342,163,317,0.9324
RUN_0014,2024-11-01 01:55:19.072249,Goerli,Heavy Load,SmartReservation,transferToken,69,19,486.57,489.9269430387779,118,274,0.9541
RUN_0015,2024-05-02 20:06:18.072249,Polygon,Light Load,SmartTourismToken,cancelTour,33,1,297.38,396.4277786810562,89,190,0.9722
RUN_0016,2023-11-15 16:26:17.072249,Sepolia,Heavy Load,SmartTourismToken,mintToken,53,10,318.39,326.15676867830445,170,291,0.955
RUN_0017,2023-11-03 05:10:14.072249,Goerli,Heavy Load,SmartReservation,mintToken,7,11,368.85,384.9379179404935,419,553,0.9013
RUN_0018,2025-07-21 18:05:00.072249,Goerli,Heavy Load,SmartTourismToken,bookTour,55,16,187.88,209.01048949057636,170,325,0.9416
RUN_0019,2024-02-25 21:23:48.072249,Goerli,Heavy Load,SmartReservation,transferToken,40,19,293.82,299.0836141161976,334,526,0.955
RUN_0020,2025-07-22 13:44:33.072249,Polygon,Heavy Load,SmartTourismToken,mintToken,72,9,123.82,199.11641917629797,453,537,0.9531
RUN_0021,2024-11-28 21:27:09.072249,Goerli,Heavy Load,SmartReservation,bookTour,76,11,90.29,185.6209395027097,363,448,0.9997
RUN_0022,2024-10-13 14:26:44.072249,Polygon,Heavy Load,SmartTourismToken,bookTour,15,10,55.92,62.85303298710999,227,325,0.9616
RUN_0023,2023-11-08 14:47:25.072249,Polygon,Heavy Load,SmartReservation,mintToken,27,16,395.64,458.7245901620678,154,230,0.9194
RUN_0024,2023-08-31 01:23:40.072249,Goerli,Mixed,SmartTourismToken,bookTour,9,2,477.35,567.9489308112614,122,193,0.9552
RUN_0025,2024-12-28 13:42:07.072249,Goerli,Mixed,SmartReservation,mintToken,28,6,20.33,28.33221119267511,401,556,0.8337
RUN_0026,2023-12-07 04:29:23.072249,Polygon,Light Load,SmartTourismToken,transferToken,39,16,131.44,195.55542091069367,309,482,0.9278
